?? ?????,1,2,3,4,5,6, ???? ???,?? ????? + ?? ???,?? ?????
2927,6,8,12,14,28,34,4,0,0
2926,20,22,29,31,32,33,3,0,0
2925,13,17,26,31,35,37,4,0,0
2924,4,7,11,12,15,37,4,0,1
2923,6,9,21,31,34,35,4,0,0
2922,4,10,17,23,28,37,5,0,0
2921,1,5,26,31,34,35,4,0,0
2920,12,14,19,27,31,34,4,0,0
2919,6,7,11,12,23,30,3,0,0
2918,7,10,14,17,27,29,4,2,0
2917,3,10,20,22,33,37,3,0,0
2916,3,5,8,11,22,33,5,1,1
2915,9,18,22,24,27,34,6,0,0
2914,11,21,22,24,26,30,3,0,0
2913,4,8,15,24,36,37,5,0,0
2912,19,20,21,24,34,35,5,2,0
2911,8,9,14,22,32,33,7,0,0
2910,2,3,8,11,26,29,6,0,0
2909,2,9,17,19,34,35,2,0,0
2908,4,7,10,20,22,26,7,0,0
2907,6,12,23,25,26,35,4,0,0
2906,4,19,22,28,31,33,7,0,0
2905,3,5,10,13,26,27,4,0,0
2904,8,18,21,22,26,33,1,0,0
2903,10,11,14,17,19,26,5,0,0
2902,1,9,14,15,19,25,6,0,0
2901,10,13,15,22,32,33,7,0,0
2900,2,8,17,20,27,31,7,0,1
2899,1,3,8,10,11,31,3,1,0
2898,8,13,27,28,30,36,2,0,0
2897,3,20,24,27,32,37,2,0,0
2896,5,6,18,19,21,36,6,0,0
2895,1,7,11,15,20,30,5,0,0
2894,2,7,11,23,25,29,4,0,0
2893,5,6,7,16,17,33,4,0,0
2892,19,21,24,25,30,36,5,1,0
2891,4,8,11,13,24,32,6,0,0
2890,9,20,27,28,30,34,1,0,0
2889,2,8,10,16,18,27,5,0,0
2888,3,6,12,25,28,36,7,0,0
2887,4,7,10,22,27,36,6,0,0
2886,7,11,18,21,25,29,7,0,0
2885,5,6,7,24,27,32,5,0,0
2884,4,5,16,24,33,34,2,0,0
2883,6,14,15,18,22,36,4,0,0
2882,13,15,21,23,30,36,6,1,0
2881,14,15,16,24,32,36,1,0,0
2880,3,8,10,11,26,36,2,0,0
2879,3,10,13,18,25,26,6,1,0
2878,3,11,22,24,33,36,7,0,0
2877,13,20,26,30,31,34,2,0,0
2876,11,13,18,20,25,29,7,1,0
2875,10,11,17,19,26,30,5,0,1
2874,3,8,9,12,27,33,3,0,0
2873,5,7,13,15,18,23,2,0,0
2872,1,6,18,24,28,35,2,0,0
2871,3,27,28,30,31,35,7,0,0
2870,6,8,14,19,20,37,5,2,0
2869,16,18,19,30,31,32,3,0,0
2868,12,15,17,18,22,26,1,0,0
2867,5,12,16,22,27,31,4,0,0
2866,4,22,24,25,26,29,6,0,0
2865,1,6,11,14,17,27,4,0,0
2864,5,8,11,16,22,29,6,0,0
2863,10,13,16,17,26,34,7,0,0
2862,8,9,12,13,29,34,5,0,0
2861,3,9,14,15,21,22,3,0,0
2860,5,7,10,15,26,37,7,1,0
2859,14,15,19,31,34,35,3,0,0
2858,5,6,9,17,24,31,7,0,0
2857,1,3,6,27,29,33,7,0,0
2856,11,13,27,30,32,34,6,0,0
2855,8,10,12,24,25,29,3,0,0
2854,5,8,21,28,31,35,2,0,0
2853,1,3,4,10,16,17,1,0,0
2852,1,2,10,12,26,29,6,0,0
2851,4,12,16,28,29,31,5,1,0
2850,8,9,15,21,26,29,3,0,1
2849,2,5,9,13,26,29,2,0,0
2848,6,16,20,25,26,27,6,0,0
2847,1,8,20,25,33,37,7,0,0
2846,1,12,13,29,32,36,1,0,0
2845,2,3,5,8,23,29,4,0,0
2844,13,16,19,22,25,31,2,1,0
2843,2,11,21,22,26,32,6,0,0
2842,2,14,16,18,32,37,3,0,0
2841,4,11,12,26,28,29,6,0,0
2840,3,9,13,16,22,34,6,0,0
2839,12,18,20,21,29,35,4,0,0
2838,4,16,21,23,24,27,3,1,0
2837,4,16,19,25,29,37,6,0,0
2836,1,6,12,14,36,37,3,0,0
2835,4,5,9,12,16,29,3,1,0
2834,9,20,22,23,24,29,6,0,0
2833,3,8,17,20,22,30,3,2,0
2832,1,9,10,21,24,32,1,0,0
2831,9,11,14,16,27,37,1,0,0
2830,14,20,23,25,26,35,3,0,0
2829,5,11,18,20,30,35,5,0,0
2828,9,15,17,25,27,32,3,0,0
2827,5,9,19,21,22,34,2,0,0
2826,11,14,22,26,27,33,7,0,0
2825,1,10,11,12,18,19,5,0,0
2824,5,7,10,13,24,33,7,0,0
2823,7,13,14,28,29,35,6,0,0
2822,1,4,16,26,28,37,5,0,0
2821,3,11,12,15,21,26,6,0,0
2820,12,13,15,20,21,32,1,0,0
2819,4,6,18,26,29,34,1,0,0
2818,3,4,5,27,30,36,3,0,0
2817,1,2,32,34,36,37,6,0,1
2816,1,3,15,27,31,35,7,0,0
2815,6,8,9,14,16,17,4,0,0
2814,1,25,34,35,36,37,2,0,0
2813,7,26,28,30,31,34,1,0,0
2812,2,12,20,28,30,33,5,0,0
2811,10,13,16,24,27,37,2,0,0
2810,1,9,15,20,23,28,4,1,0
2809,5,10,13,17,25,36,3,1,0
2808,4,6,15,24,31,37,4,0,0
2807,6,14,18,26,29,36,7,0,0
2806,1,2,5,16,24,34,7,0,0
2805,7,12,18,22,32,36,3,0,0
2804,3,7,10,21,33,35,2,1,0
2803,11,12,18,19,32,37,4,0,0
2802,2,12,21,23,28,31,6,0,0
2801,7,11,19,25,28,37,4,0,0
2800,12,14,16,29,32,37,5,0,0
2799,5,6,9,12,26,34,4,0,0
2798,1,20,23,24,26,32,7,0,0
2797,8,9,21,22,26,37,6,0,0
2796,5,8,17,31,32,37,7,0,0
2795,1,5,7,18,25,36,1,2,1
2794,4,6,14,22,28,29,4,0,0
2793,8,12,15,24,28,33,5,0,0
2792,3,5,6,13,26,29,1,0,0
2791,2,4,14,19,20,33,1,1,0
2790,13,17,20,26,35,37,2,0,0
2789,5,6,10,20,26,29,3,0,1
2788,1,9,20,25,27,31,4,0,0
2787,5,22,25,33,35,36,1,0,0
2786,2,6,8,14,29,34,3,0,0
2785,12,13,20,25,27,30,6,0,0
2784,2,5,6,14,22,32,3,0,0
2783,3,7,12,22,27,36,2,0,0
2782,7,13,19,32,35,37,6,0,0
2781,2,7,10,18,24,26,5,0,1
2780,5,8,11,20,29,36,4,0,0
2779,4,8,16,20,21,36,3,0,1
2778,3,15,26,28,32,33,4,1,0
2777,1,10,11,13,18,25,7,0,0
2776,6,10,14,15,26,36,3,1,0
2775,9,16,22,27,31,32,6,0,0
2774,6,9,17,26,27,36,6,0,0
2773,7,15,17,18,20,32,5,0,0
2772,1,5,14,21,27,30,7,0,0
2771,5,19,23,25,30,31,3,0,0
2770,1,2,7,8,9,26,2,0,1
2769,7,15,17,19,27,30,4,0,0
2768,3,18,19,22,24,26,7,1,0
